title,body,labels,milestone
P1-019: Add pump sabotage,"Source: `docs/phase1-backlog.md`

Done when:

5-player local smoke raises flooding pressure through sabotage, lowers it through pump repair, and leaves partial pressure after partial repair

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-1,week-3,prototype",Phase 1
P1-020: Add down/rescue loop,"Source: `docs/phase1-backlog.md`

Done when:

Server-authoritative damage/down/rescue scaffold logs `player_downed` and `player_rescued`; `life-action` smoke validates interactable rescue through `AAbyssLifeActionActor`

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-1,week-3,prototype",Phase 1
P1-021: Add containment loop,"Source: `docs/phase1-backlog.md`

Done when:

Server-authoritative contain/release scaffold logs `player_contained` and `player_released`; `life-action` smoke validates interactable contain and release through `AAbyssLifeActionActor`

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-1,week-3,prototype",Phase 1
P1-022: Add simple QA bot,"Source: `docs/phase1-backlog.md`

Done when:

Automation-only server pawn pickup smoke, PlayerState-backed assigned-pawn door interaction smoke, and PlayerState-backed repair/sabotage task smoke pass; NavMesh movement pending

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-1,week-3,prototype",Phase 1
P1-023: Add log summary script,"Source: `docs/phase1-backlog.md`

Done when:

`Tools/log_summary.py` counts run/build/map/profile metadata, duration, match duration, match start/end, final approach, connection lifecycle, damage, deaths, down/rescue, contain/release, life-action interactions/smoke pass, disconnects, errors, events, role assignment, repair/sabotage task counts, last match winner/reason, bulkhead lock smoke counters, flooding pressure/pump smoke counters, PvE enemy/damage smoke counters, item pickup/drop smoke counters, combined systems smoke counters, QA bot smoke counters, QA player-bot smoke counters, and QA task-bot smoke counters; `Tools/ue/run_smoke_suite.py` aggregates profile summaries; `Tools/ue/export_smoke_suite_markdown.py` exports evidence tables; heavy suite and 8-player combined evidence exist

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-1,week-3,prototype",Phase 1
P1-024: Run 6-8 player human test 1,"Source: `docs/phase1-backlog.md`

Done when:

Packet prepared in `docs/playtests/p1-024-human-test-1.md`; `Tools/playtest_run_scaffold.py` creates ignored Windows PowerShell run folders and launch scripts; anonymized summary template prepared in `docs/playtests/p1-024-summary-template.md`; `Tools/playtest_summary.py` can generate the summary skeleton from `log_summary.py` JSON; `Tools/playtest_preflight.py` checks human-summary gates and redaction before commit; non-human dry-run example exists at `docs/playtests/p1-024-dry-run-summary-example.md`; complete when human log, notes, decision list, and preflight pass are saved

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-1,week-4,prototype",Phase 1
P1-025: Fix top 5 blockers,"Source: `docs/phase1-backlog.md`

Done when:

Retest confirms blockers are gone

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-1,week-4,prototype",Phase 1
P1-026: Run 6-8 player human test 2,"Source: `docs/phase1-backlog.md`

Done when:

Players can complete a match

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-1,week-4,prototype",Phase 1
P1-027: Run 8-player target test,"Source: `docs/phase1-backlog.md`

Done when:

At least one full 8-player match ends

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-1,week-4,prototype",Phase 1
P1-028: Decide keep/cut/change list,"Source: `docs/phase1-backlog.md`

Done when:

Phase 2 scope is updated

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-1,week-4,prototype",Phase 1
P1-029: Update Steam Playtest risk list,"Source: `docs/phase1-backlog.md`

Done when:

Store and infra blockers are known

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-1,week-4,prototype",Phase 1
P1-030: Validate near-future visual POC direction,"Source: `docs/phase1-backlog.md`

Done when:

`Tools/ue/scaffold_frostwake_visual_poc.py` creates a dry-run/local manifest for a separate visual POC; a duplicate visual POC map then uses approved candidate assets or placeholders to show central corridor, engine/fuel/battery bay, and exterior ice access without changing whitebox automation; screenshots and asset-ledger candidate entries exist

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-1,week-4,prototype",Phase 1
P1-031: Resume on Windows workstation,"Source: `docs/phase1-backlog.md`

Done when:

Windows clone passes `quality_gate.py --require-ue`, `unreal_gate.py --platform Win64 --include-server`, dedicated-server boot/client-join/ready-lobby probes, and at least `qa-bot`, `match-timer`, `life-action`, `combined5`, and `ready8` smoke profiles; `docs/windows-validation-template.md` is filled into a new cycle or dated result note; server-target result is recorded

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-1,week-4,prototype",Phase 1
